F0006	0.004812065	-3.273799 	10
F0001	0.001428469	-3.051868 	110
F0017	4.246674e-05	-4.970408 	20
F0020	0.01545003	-2.555785 	10
F0037	0.0139625	-2.26568 	50
F0031	1.945193e-11	-7.348507 	110
F0039	0.02988287	-2.002031 	20
F0044	0.4741959	-0.06655408 	10
F0038	2.393795e-11	-7.792587 	70
F0015	0.3603217	-0.3690221 	10
F0004	0.004766493	-3.279756 	10
F0016	0.02957819	-2.159076 	10
F0023	0.0001820657	-3.904335 	40
F0024	0.05201373	-1.678337 	30
F0032	0.2464839	-0.7146099 	10
F0040	0.9239812	1.492307 	20
F0011	0.09471014	-1.419598 	10
F0025	2.527538e-06	-5.581034 	30
F0010	0.199519	-0.8852841 	10
F0002	3.444307e-07	-7.258433 	20
F0045	0.02007442	-2.396176 	10
F0014	7.932537e-07	-6.001441 	30
F0027	4.10672e-06	-5.405885 	30
F0035	0.002970895	-3.096462 	20
F0003	0.0008845298	-3.633322 	20
F0008	0.009632712	-2.844366 	10
F0013	0.2739989	-0.6241878 	10
F0021	0.0003543644	-5.030662 	10
F0022	0.0002345646	-3.749029 	50
F0012	0.01376256	-2.6263 	10
F0005	0.2568761	-0.6797709 	10
F0007	0.00594281	-3.142212 	10
F0036	0.2437815	-0.7238192 	10
F0041	0.001401192	-4.069348 	10
F0019	0.02683445	-2.218802 	10
F0042	0.01795164	-2.46432 	10
F0043	0.3567698	-0.3789092 	10
F0000	0.236797	-0.7479263 	10
F0033	0.002386945	-3.719557 	10
F0018	0.01318634	-2.65239 	10
F0030	0.9128521	1.475073 	10
F0034	0.16751	-1.018537 	10
F0029	0.01119411	-2.752414 	10
F0009	0.1958273	-0.8998232 	10
