F0039	5.997998e-07	-5.002188 	210
F0027	0.3303095	-0.4403842 	100
F0040	1.669273e-10	-6.914461 	110
F0041	0.1168284	-1.276721 	10
F0020	0.4107354	-0.2323405 	10
F0031	3.973122e-09	-6.723128 	60
F0037	4.97126e-07	-5.121068 	140
F0014	0.1224691	-1.243957 	10
F0018	0.001746135	-3.923515 	10
F0021	0.007202427	-2.502272 	80
F0017	0.06003249	-1.627668 	20
F0033	0.2392238	-0.7394991 	10
F0044	0.9043865	1.413231 	10
F0029	6.278952e-05	-4.796044 	20
F0013	0.0009391426	-4.339701 	10
F0005	0.0610096	-1.706923 	10
F0015	0.0004731774	-3.680112 	30
F0032	0.08381531	-1.434693 	20
F0010	0.1580812	-1.061392 	10
F0012	0.000390464	-4.959622 	10
F0042	0.2588776	-0.6731612 	10
F0038	0.3680188	-0.3477292 	10
F0045	0.004202522	-3.358809 	10
F0028	0.03770422	-2.009339 	10
F0034	0.02887868	-2.173774 	10
F0000	0.9069126	1.431169 	10
F0009	5.341164e-05	-4.481623 	30
F0043	0.0695146	-1.62304 	10
F0016	0.02092397	-2.370889 	10
F0004	0.005022779	-2.858859 	20
F0011	0.009279311	-2.867286 	10
F0024	0.2428911	-0.7109004 	20
F0007	0.01847425	-2.446828 	10
F0019	0.1222772	-1.245051 	10
F0022	0.01567226	-2.547081 	10
F0023	0.02891973	-2.172902 	10
F0002	0.1210527	-1.252065 	10
F0008	0.0004276269	-4.893525 	10
F0035	0.002044411	-3.820175 	10
